page   num  type   width height color comp bpc  enc interp  object ID x-ppi y-ppi size ratio
  51   111 image    1026   340  rgb     3   8  image  no       277  0   126   127 61.1K 6.0%
  52   112 image     218    44  rgb     3   8  image  no       280  0    96    96  709B 2.5%
  52   113 image      86    36  rgb     3   8  image  no       291  0   199   198   31B 0.3%
  52   114 smask      86    36  gray    1   8  image  no       291  0   199   198   25B 0.8%
  52   115 image      86    36  rgb     3   8  image  no       291  0   199   198   31B 0.3%
  52   116 smask      86    36  gray    1   8  image  no       291  0   199   198   25B 0.8%
  52   117 image      86    36  rgb     3   8  image  no       291  0   199   198   31B 0.3%
  52   118 smask      86    36  gray    1   8  image  no       291  0   199   198   25B 0.8%
  52   119 image      86    36  rgb     3   8  image  no       291  0   199   198   31B 0.3%
  52   120 smask      86    36  gray    1   8  image  no       291  0   199   198   25B 0.8%
  52   121 image      86    36  rgb     3   8  image  no       291  0   199   198   31B 0.3%
  52   122 smask      86    36  gray    1   8  image  no       291  0   199   198   25B 0.8%
  52   123 image      86    36  rgb     3   8  image  no       291  0   199   198   31B 0.3%
  52   124 smask      86    36  gray    1   8  image  no       291  0   199   198   25B 0.8%
  52   125 image      50    50  rgb     3   8  image  no       300  0   200   199   30B 0.4%
  52   126 smask      50    50  gray    1   8  image  no       300  0   200   199   25B 1.0%
  52   127 image      50    50  rgb     3   8  image  no       300  0   200   199   30B 0.4%
  52   128 smask      50    50  gray    1   8  image  no       300  0   200   199   25B 1.0%
  53   129 image     746   205  rgb     3   8  image  no       306  0    94    94 17.2K 3.8%
  54   130 image     714   311  rgb     3   8  image  no       309  0    95    95 23.0K 3.5%
  55   131 image      83    57  rgb     3   8  image  no       312  0   199   200   34B 0.2%
  55   132 smask      83    57  gray    1   8  image  no       312  0   199   200   27B 0.6%
  55   133 image      83    57  rgb     3   8  image  no       312  0   199   200   34B 0.2%
  55   134 smask      83    57  gray    1   8  image  no       312  0   199   200   27B 0.6%
  55   135 image      83    57  rgb     3   8  image  no       315  0   199   199   34B 0.2%
  55   136 smask      83    57  gray    1   8  image  no       315  0   199   199   27B 0.6%
  55   137 image      83    57  rgb     3   8  image  no       312  0   199   200   34B 0.2%
  55   138 smask      83    57  gray    1   8  image  no       312  0   199   200   27B 0.6%
  55   139 image      72    41  rgb     3   8  image  no       317  0   197   195   31B 0.4%
  55   140 smask      72    41  gray    1   8  image  no       317  0   197   195   26B 0.9%
  56   141 image     225   198  rgb     3   8  image  no       321  0    71    71 2880B 2.2%
  57   142 image     715   191  rgb     3   8  image  no       324  0    92    92 6110B 1.5%
  58   143 image     724   209  rgb     3   8  image  no       327  0    94    94 8260B 1.8%
  59   144 image     746   237  rgb     3   8  image  no       330  0   100   100 10.1K 2.0%
  60   145 image      67    41  rgb     3   8  image  no       333  0   198   198   30B 0.4%
  60   146 smask      67    41  gray    1   8  image  no       333  0   198   198   26B 0.9%
  60   147 image      67    41  rgb     3   8  image  no       333  0   198   198   30B 0.4%
  60   148 smask      67    41  gray    1   8  image  no       333  0   198   198   26B 0.9%
  60   149 image      67    41  rgb     3   8  image  no       340  0   199   198   30B 0.4%
  60   150 smask      67    41  gray    1   8  image  no       340  0   199   198   26B 0.9%
  60   151 image      67    41  rgb     3   8  image  no       333  0   198   198   30B 0.4%
  60   152 smask      67    41  gray    1   8  image  no       333  0   198   198   26B 0.9%
  60   153 image      67    41  rgb     3   8  image  no       342  0   199   197   30B 0.4%
  60   154 smask      67    41  gray    1   8  image  no       342  0   199   197   26B 0.9%
  60   155 image      67    41  rgb     3   8  image  no       340  0   199   198   30B 0.4%
  60   156 smask      67    41  gray    1   8  image  no       340  0   199   198   26B 0.9%
